304589 | 1402109219 | 272 | GHash.IO
304590 | 1402109283 | 64 | GHash.IO
304591 | 1402111231 | 1948 | GHash.IO
304592 | 1402111659 | 428 | BTC Guild
304593 | 1402111578 | -81 | Unknown
304594 | 1402112037 | 459 | Eligius
304595 | 1402112293 | 256 | Unknown
304596 | 1402114644 | 2351 | GHash.IO
304597 | 1402115036 | 392 | F2pool (Discus Fish)
304598 | 1402116043 | 1007 | GHash.IO
304599 | 1402116661 | 618 | GHash.IO
304600 | 1402117189 | 528 | GHash.IO
304601 | 1402118454 | 1265 | GHash.IO
304602 | 1402118433 | -21 | Unknown
304603 | 1402119607 | 1174 | BTC Guild
304604 | 1402121359 | 1752 | BTC Guild
304605 | 1402122000 | 641 | GHash.IO
304606 | 1402122013 | 13 | GHash.IO
304607 | 1402122228 | 215 | GHash.IO
304608 | 1402122928 | 700 | GHash.IO
304609 | 1402125180 | 2252 | GHash.IO
304610 | 1402125282 | 102 | GHash.IO
304611 | 1402125832 | 550 | F2pool (Discus Fish)
304612 | 1402125925 | 93 | GHash.IO
304613 | 1402126406 | 481 | F2pool (Discus Fish)
304614 | 1402126543 | 137 | BTC Guild
304615 | 1402126714 | 171 | Unknown
304616 | 1402126718 | 4 | Unknown
304617 | 1402128794 | 2076 | GHash.IO
304618 | 1402129358 | 564 | BTC Guild
304619 | 1402130670 | 1312 | GHash.IO
304620 | 1402130931 | 261 | Eligius
304621 | 1402131249 | 318 | GHash.IO
304622 | 1402131497 | 248 | Bitminter
304623 | 1402131846 | 349 | F2pool (Discus Fish)
304624 | 1402132242 | 396 | GHash.IO
304625 | 1402132872 | 630 | slush - mining.bitcoin.cz
304626 | 1402133336 | 464 | BTC Guild
304627 | 1402133656 | 320 | Unknown
304628 | 1402136037 | 2381 | BTC Guild
304629 | 1402136337 | 300 | GHash.IO
304630 | 1402136450 | 113 | Eligius
304631 | 1402136838 | 388 | Unknown
304632 | 1402136989 | 151 | GHash.IO
304633 | 1402137037 | 48 | GHash.IO
304634 | 1402137527 | 490 | Unknown
304635 | 1402137535 | 8 | Eligius
304636 | 1402137992 | 457 | GHash.IO
304637 | 1402138299 | 307 | F2pool (Discus Fish)
304638 | 1402139207 | 908 | GHash.IO
304639 | 1402139676 | 469 | Unknown
304640 | 1402139806 | 130 | Unknown
304641 | 1402141333 | 1527 | GHash.IO
304642 | 1402141515 | 182 | GHash.IO
304643 | 1402141634 | 119 | GHash.IO
304644 | 1402142314 | 680 | F2pool (Discus Fish)
304645 | 1402142613 | 299 | GHash.IO
304646 | 1402142626 | 13 | F2pool (Discus Fish)
304647 | 1402142763 | 137 | GHash.IO
304648 | 1402144804 | 2041 | slush - mining.bitcoin.cz
304649 | 1402145266 | 462 | GHash.IO
304650 | 1402145523 | 257 | GHash.IO
304651 | 1402145854 | 331 | slush - mining.bitcoin.cz
304652 | 1402146945 | 1091 | F2pool (Discus Fish)
304653 | 1402146882 | -63 | Unknown
304654 | 1402148146 | 1264 | GHash.IO
304655 | 1402148537 | 391 | GHash.IO
304656 | 1402149853 | 1316 | GHash.IO
304657 | 1402149935 | 82 | GHash.IO
304658 | 1402149993 | 58 | GHash.IO
304659 | 1402150957 | 964 | F2pool (Discus Fish)
304660 | 1402151852 | 895 | F2pool (Discus Fish)
304661 | 1402151498 | -354 | Unknown
304662 | 1402152877 | 1379 | Eligius
304663 | 1402153102 | 225 | BTC Guild
304664 | 1402153476 | 374 | Eligius
304665 | 1402154078 | 602 | slush - mining.bitcoin.cz
304666 | 1402154106 | 28 | Unknown
304667 | 1402154121 | 15 | Unknown
304668 | 1402155074 | 953 | GHash.IO
304669 | 1402155792 | 718 | GHash.IO
304670 | 1402155973 | 181 | GHash.IO
304671 | 1402156427 | 454 | Unknown
304672 | 1402156779 | 352 | F2pool (Discus Fish)
304673 | 1402158437 | 1658 | GHash.IO
304674 | 1402159300 | 863 | GHash.IO
304675 | 1402159728 | 428 | GHash.IO
304676 | 1402159767 | 39 | GHash.IO
304677 | 1402160300 | 533 | Bitminter
304678 | 1402161097 | 797 | GHash.IO
304679 | 1402161107 | 10 | BTC Guild
304680 | 1402161413 | 306 | GHash.IO
304681 | 1402161763 | 350 | F2pool (Discus Fish)
304682 | 1402163010 | 1247 | GHash.IO
304683 | 1402163423 | 413 | BTC Guild
304684 | 1402163357 | -66 | GHash.IO
304685 | 1402163533 | 176 | Unknown
304686 | 1402164268 | 735 | Eligius
304687 | 1402165070 | 802 | F2pool (Discus Fish)
304688 | 1402165978 | 908 | GHash.IO
304689 | 1402166785 | 807 | Unknown
304690 | 1402167959 | 1174 | GHash.IO
304691 | 1402167970 | 11 | GHash.IO
304692 | 1402168473 | 503 | BTC Guild
304693 | 1402169585 | 1112 | BTC Guild
304694 | 1402169867 | 282 | Eligius
304695 | 1402169998 | 131 | GHash.IO
304696 | 1402170585 | 587 | Eligius
304697 | 1402170400 | -185 | Unknown
304698 | 1402170906 | 506 | Unknown
304699 | 1402171180 | 274 | Unknown
304700 | 1402171771 | 591 | F2pool (Discus Fish)
304701 | 1402171414 | -357 | Unknown
304702 | 1402173015 | 1601 | GHash.IO
304703 | 1402173451 | 436 | GHash.IO
304704 | 1402174174 | 723 | GHash.IO
304705 | 1402174498 | 324 | Unknown
304706 | 1402175222 | 724 | F2pool (Discus Fish)
304707 | 1402176187 | 965 | GHash.IO
304708 | 1402176507 | 320 | F2pool (Discus Fish)
304709 | 1402176879 | 372 | GHash.IO
304710 | 1402176896 | 17 | Eligius
304711 | 1402176532 | -364 | Unknown
304712 | 1402178057 | 1525 | GHash.IO
304713 | 1402178066 | 9 | GHash.IO
304714 | 1402178998 | 932 | BTC Guild
304715 | 1402179488 | 490 | Eligius
304716 | 1402180306 | 818 | slush - mining.bitcoin.cz
304717 | 1402181388 | 1082 | F2pool (Discus Fish)
304718 | 1402181486 | 98 | GHash.IO
304719 | 1402182019 | 533 | GHash.IO
304720 | 1402183342 | 1323 | GHash.IO
304721 | 1402183519 | 177 | F2pool (Discus Fish)
304722 | 1402183964 | 445 | GHash.IO
